"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
F4486,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 애월읍 일주서로 6017 곽지사거리,제주시 애월읍 곽지리 1669-4,33.44790735,126.30686600,곽지사거리,02,50,,,02,2009,제주지방경찰청,064-798-3052,2019-09-19
F4487,17,제주시,05,중로1015,오광로,01,제주특별자치도 제주시 오광로 25 제주공항렌트카 맞은편,제주시 이호2동 1553-2 제주공항렌트카 앞,33.49309424,126.45643130,제주공항렌트카 맞은편,01,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4488,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 일주서로 7651 이호석재사 앞,제주시 이호2동 205-2 이호석재사 앞,33.49469580,126.46365180,이호석재사 앞,01,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4490,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 남원읍 일주동로 6923 금성동 교차로,서귀포시 남원읍 태흥리 909-1,33.28797669,126.73942680,금성동 교차로,02,50,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4491,17,서귀포시,04,1118번,남조로,01,제주특별자치도 서귀포시 표선면 남조로 1487-73 사려니 숲길 입구,서귀포시 표선면 가시리 산 158-1 사려니숲길 입구,33.39493909,126.68533010,사려니 숲길 입구 제주방면,01,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4492,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 일주서로 341 도순교차로 서측,서귀포시 도순동 801-3 도순교차로 서측,33.25258366,126.47184870,도순교차로 서측,01,50,,,02,2009,제주지방경찰청,064-798-3052,2019-09-19
F4860,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 구좌읍 일주동로 2806 한동초교 서측,제주시 구좌읍 한동리 1145-3 한동초교 서측,33.53927255,126.82600760,한동초교 서측,01,50,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4861,17,제주시,05,대로1009,연북로,01,제주특별자치도 제주시 연북로 588 영지학교 서측,제주시 이도2동 659-3 영지학교 서측,33.48810595,126.54137150,영지학교 서측,01,50,,,02,2009,제주지방경찰청,064-798-3052,2019-09-19
F4913,17,제주시,05,대로1001,연삼로,01,제주특별자치도 제주시 연삼로 759 천지자원 앞,제주시 화북2동 2277-7 천지자원 앞,33.51190397,126.56570450,천지자원 앞,01,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4914,17,제주시,05,대로1009,연북로,01,제주특별자치도 제주시 연북로 378 한라도서관 입구 사거리,제주시 오라2동 1567-3,33.48088026,126.51569740,한라도서관 입구 사거리,02,70,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4915,17,제주시,05,대로3003,오남로,01,제주특별자치도 제주시 오남로 92 제주도 치과의사협회 맞은편,제주시 오라2동 943-3 제주도 치과의사협회 앞,33.48692930,126.51744090,제주도 치과의사협회 맞은편,01,50,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4916,17,제주시,04,1132번,동광로,02,제주특별자치도 제주시 동광로 80 문예회관 사거리,제주시 이도2동 331,33.50409017,126.53660700,문예회관앞 사거리,02,70,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4917,17,제주시,05,대로1001,연삼로,01,제주특별자치도 제주시 연삼로 974 도련사거리,제주시 도련2동 564-10,33.51487131,126.58898820,도련사거리,02,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4918,17,제주시,04,1131번,516로,01,제주특별자치도 제주시 516로 3120 제주도 장애인종합복지관 앞,제주시 아라1동 396-45 제주도장애인복지회관 앞,33.45249513,126.55174100,제주도 장애인종합복지관 앞,01,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4919,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 애월읍 일주서로 6372 애월고등학교 앞,제주시 애월읍 애월리 6-1 애월고등학교 앞,33.46247551,126.33281910,애월고등학교 앞,01,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4920,17,제주시,04,1135번,평화로,02,제주특별자치도 제주시 애월읍 평화로 1693-75 에버리스 골프장 앞,제주시 애월읍 어음리 산 40-3 에버리스골프장 앞,33.37529862,126.36931320,에버리스 골프장 앞,01,80,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4921,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 애월읍 일주서로 4135 하귀입구 교차로,제주시 애월읍 하귀1리 532-2,33.48532544,126.41070780,하귀입구 교차로,02,60,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4922,17,서귀포시,04,1136번,중산간동로,02,제주특별자치도 서귀포시 남원읍 중산간동로 6668 대성동 입구,서귀포시 남원읍 위미리 1144-7 대성동입구,33.29353322,126.67662480,대성동 입구,01,50,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4923,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 남원읍 일주동로 7921 신례2리 복지회관 앞,서귀포시 남원읍 신례1리 88-7 신례2리 복지회관 앞,33.26523343,126.63996420,신례2리 복지회관 앞,01,60,,,01,2009,제주지방경찰청,064-798-3052,2019-09-19
F4924,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 표선면 일주동로 5915 관통교차로,서귀포시 표선면 표선리 2050-4,33.32959769,126.82261190,관통교차로,02,70,,,,2009,제주지방경찰청,064-798-3052,2019-09-19
F4925,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 성산읍 일주동로 5111 신산초등학교 맞은편,서귀포시 성산읍 신산리 1100-16 신산초등학교 앞,33.38050840,126.87630430,신산초등학교 맞은편,01,50,,,02,2009,제주지방경찰청,064-798-3052,2019-09-19
F5680,17,제주시,05,대로1009,연북로,02,제주특별자치도 제주시 구남동5길 11 중앙여고 교차로,제주시 이도2동 697-3,33.48767856,126.54012570,중앙여고 교차로,02,70,,,,2010,제주지방경찰청,064-798-3052,2019-09-19
F5681,17,제주시,04,1139번,1100로,02,제주특별자치도 제주시 노형로 407 노형로타리,제주시 노형동 1297-5,33.48594550,126.47911240,노형로타리,02,70,,,,2010,제주지방경찰청,064-798-3052,2019-09-19
F5682,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 일주동로 8690 서귀포시 중앙로터리,서귀포시 서홍동 441-39,33.25328017,126.56077840,서귀포시 중앙로터리,02,60,,,,2010,제주지방경찰청,064-798-3052,2019-09-19
F6355,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 일주동로 6 국립제주박물관 교차로,제주시 건입동 596-4,33.51161441,126.54726010,국립제주박물관 교차로,02,70,,,,2011,제주지방경찰청,064-798-3052,2019-09-19
F6356,17,서귀포시,04,97번,번영로,02,제주특별자치도 서귀포시 표선면 표선중앙로 5 표선교차로,서귀포시 표선면 1809-5,33.33258799,126.82903540,표선교차로,02,70,,,,2011,제주지방경찰청,064-798-3052,2019-09-19
F6357,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 애월읍 일주서로 7236 관전동 횡단보도 앞,제주시 애월읍 하귀1리 21-6 관전동 횡단보도 앞,33.48982393,126.42055410,관전동 횡단보도 앞,01,60,,,,2011,제주지방경찰청,064-798-3052,2019-09-19
F6358,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 애월읍 일주서로 6951 번대동 입구,제주시 애월읍 하귀2리 2942-7 번대동 입구,33.47897934,126.39245250,번대동 입구,01,60,,,,2011,제주지방경찰청,064-798-3052,2019-09-19
F6863,17,제주시,04,1132번,서광로,01,제주특별자치도 제주시 서광로 94 오라오거리,제주시 오라3동 2339-5 오라로터리,33.50044427,126.50639120,오라오거리,02,70,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F6864,17,제주시,04,1132번,일주도로,02,제주특별자치도 제주시 도령로 133 신광사거리,제주시 연동 2335-4 신광로터리,33.49351040,126.49156400,신광사거리,02,70,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F6865,17,제주시,04,1135번,평화로,01,제주특별자치도 제주시 애월읍 평화로 2820-35 광령3교 남측,제주시 애월읍 광령리 169-1 광령3교 남측,33.45493002,126.44186800,광령3교 남측,01,70,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F6866,17,제주시,04,97번,번영로,01,제주특별자치도 제주시 번영로 423 봉개 농협 농자재 센터 남측,제주시 봉개동 2584-1 농협 농자재 센터 남측,33.49310433,126.58954200,봉개 농협 농자재 센터 남측,01,70,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F6867,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 일주동로 385 고민석한의원 앞,제주시 삼양2동 2186-1 고민석한의원 앞,33.52138121,126.58625130,고민석한의원 앞,01,50,,,02,2013,제주지방경찰청,064-798-3052,2019-09-19
F6868,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 안덕면 일주서로 1507-1 감산리 복지회관 앞,서귀포시 안덕면 감산리 287-4 감산리 복지회관 앞,33.25916395,126.35419170,감산리 복지회관 앞,01,60,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F7129,17,서귀포시,04,1136번,중산간동로,02,제주특별자치도 서귀포시 중산간동로 7918 서귀포 오일시장 서측,서귀포시 동홍동 1093-1 서귀포 오일시장 서측 횡단보도 앞,33.26569939,126.57046360,서귀포 오일시장 서측,01,60,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F7271,17,서귀포시,04,1116번,한창로,02,제주특별자치도 서귀포시 안덕면 한창로 365 테디벨리 골프장 입구 3가,서귀포시 안덕면 상창리 1998,33.29218618,126.35113900,테디벨리 골프장 입구 3가 중문방면,02,80,,,,2014,제주지방경찰청,064-798-3052,2019-09-19
F7272,17,서귀포시,04,1116번,한창로,01,제주특별자치도 서귀포시 안덕면 한창로 368 테디벨리 골프장 입구 3가,서귀포시 안덕면 상창리 1979,33.29244625,126.35138040,테디벨리 골프장 입구 3가 제주방면,02,80,,,,2014,제주지방경찰청,064-798-3052,2019-09-19
F7273,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 한경면 일주서로 3708 고산3교차로 150m 서측,제주시 한경면 고산리 3149-2 고산3교차로 150m 서측,33.29807916,126.18450330,고산3교차로 150m 서측,01,70,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F7274,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 구좌읍 일주동로 3833 종달1교차로,제주시 구좌읍 종달리 1880-2,33.49179764,126.89390230,종달1교차로,02,80,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F7275,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 남원읍 일주동로 7225-2 남원119센터 교차로,서귀포시 남원읍 남원리 1499-18,33.28186297,126.70871300,남원119센터 교차로,02,60,,,,2013,제주지방경찰청,064-798-3052,2019-09-19
F7441,17,서귀포시,04,1136번,중산간동로,02,제주특별자치도 서귀포시 중산간동로 8079-1 열방교회 동측 100m,서귀포시 중산간동로 8079-1 열방교회 동측 100m,33.26395322,126.55359260,열방교회 동측 100m,01,50,,,,2014,제주지방경찰청,064-798-3052,2019-09-19
F7751,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 일주동로 163 화북초교 앞,제주시 화북1동 3996-6 화북초교 앞,33.51844910,126.56319460,화북초교 앞,01,50,,,,2014,제주지방경찰청,064-798-3052,2019-09-19
F7752,17,제주시,04,1132번,서광로,02,제주특별자치도 제주시 서광로 301 광양사거리,제주시 이도1동 1938 광양사거리,33.50074688,126.52880770,광양사거리,02,70,,,,2014,제주지방경찰청,064-798-3052,2019-09-19
F7753,17,제주시,05,대로1001,연삼로,01,제주특별자치도 제주시 중앙로 291 8호광장,제주시 이도2동 1085-4 8호광장,33.49474354,126.53388780,8호광장,02,60,,,,2014,제주지방경찰청,064-798-3052,2019-09-19
F7754,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 한경면 일주서로 4298 신창사거리,제주시 한경면 신창리 160-27 신창사거리,33.34886112,126.18640730,신창사거리,02,60,,,,2014,제주지방경찰청,064-798-3052,2019-09-19
F7755,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 남원읍 일주동로 6880 뒷못동교차로,서귀포시 남원읍 태흥리 588-1 뒷못동교차로,33.28918371,126.74392590,뒷못동교차로,02,50,,,,2014,제주지방경찰청,064-798-3052,2019-09-19
F7973,17,서귀포시,04,1136번,중산간서로,01,제주특별자치도 서귀포시 중산간서로 644 회수마을 입구,서귀포시 회수동 355-4 회수마을 입구,33.26282069,126.44675360,회수마을 입구,01,50,,,01,2015,제주지방경찰청,064-798-3052,2019-09-19
F8223,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 색달중앙로 31 색달마을입구 사거리,서귀포시 색달동 2276-12,33.25812421,126.41358010,색달마을입구 사거리,02,70,,,,2015,제주지방경찰청,064-798-3052,2019-09-19
F8298,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 일주동로 9016 서귀포물류농수산 앞,서귀포시 호근동 1471 서귀포물류농수산 앞,33.24786284,126.53022840,서귀포물류농수산 앞,01,70,,,,2015,제주지방경찰청,064-798-3052,2019-09-19
F8299,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 일주서로 469 하원초등학교 앞,서귀포시 하원동 405-6 하원초등학교 앞,33.25412785,126.45906380,하원초등학교 앞,01,50,,,,2015,제주지방경찰청,064-798-3052,2019-09-19
F8300,17,서귀포시,04,1119번,서성일로,01,제주특별자치도 서귀포시 성산읍 서성일로 1150 한양맨션 앞,서귀포시 성산읍 고성리 2087-6 한양맨션 앞,33.44543308,126.90141370,한양연립 맞은편,01,60,,,,2015,제주지방경찰청,064-798-3052,2019-09-19
F8692,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 한림읍 일주서로 5879 귀덕포구 입구,제주시 한림읍 귀덕리 1009-11 귀덕포구 입구,33.44382166,126.29385040,귀덕포구 입구,01,50,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F8693,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 서홍로 43 솜반천교차로,서귀포시 서호동 1194-11 솜반천 교차로,33.25186689,126.55362770,솜반천교차로,02,70,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F8910,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 성산읍 일주동로 4269-3 고성교차로,서귀포시 성산읍 고성리 1093-13 고성교차로,33.44729513,126.91270040,고성교차로,02,60,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F8911,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 성산읍 일주동로 3968 시흥마을입구,서귀포시 성산읍 시흥리 1206-5 시흥마을 입구,33.47403083,126.90063050,시흥마을입구,01,60,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F8912,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 일주서로 77 천마강정충천소 앞 3가로,서귀포시 강정도 1233-2 강정충전소 앞 3가로,33.25001411,126.49988160,천마강정충천소 앞 3가로,02,70,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F9114,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 일주서로 661 일레인호텔 맞은편,서귀포시 회수동 637-1 일레인 호텔 앞,33.25399092,126.43927680,일레인호텔 맞은편,01,70,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F9115,17,서귀포시,04,1136번,중산간동로,01,제주특별자치도 서귀포시 중산간동로 8434 고근산 입구,서귀포시 서호동 1255-1 고근산 입구,33.26076450,126.51612750,고근산 입구,01,60,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F9116,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 일주서로 185 제주도시가스 앞,서귀포시 강정도 3306-3 제주도시가스 앞,33.25039758,126.48897810,제주도시가스 앞,01,70,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F9117,17,서귀포시,05,제313호선,중앙로,02,제주특별자치도 서귀포시 중앙로 86 중앙로터리,서귀포시 서귀동 336 중앙로터리,33.25264781,126.56114130,서귀포 중앙로터리,02,50,,,,2016,제주지방경찰청,064-798-3052,2019-09-19
F9118,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 일주서로 7368 외도초교 앞 사거리,제주시 외도2동 251-1 외도초교 앞 사거리,33.49356083,126.43385980,외도초교 앞 사거리,02,50,,,02,2016,제주지방경찰청,064-798-3052,2019-09-19
F9119,17,제주시,05,중로1017,우평로,02,제주특별자치도 제주시 우평로 190 도평초교 입구 사거리,제주시 도평동 781-1 도평초교입구 사거리,33.48159390,126.44638190,도평초교 입구 사거리,02,50,,,02,2016,제주지방경찰청,064-798-3052,2019-09-19
F9158,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 구좌읍 일주동로 3084 평대리동동복지회관 앞,제주시 구좌읍 평대리 355-2 평대리동동복지회관 앞,33.52438413,126.84934630,평대리동동복지회관 앞,01,50,,,01,2016,제주지방경찰청,064-798-3052,2019-09-19
F9396,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 일주동로 250 제주동중학교 앞 사거리,제주시 화북1동 1235-5 제주동중학교 앞 사거리,33.51975990,126.57182890,제주동중학교 앞 사거리,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9397,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 구좌읍 일주동로 2837 한동초등학교 앞 사거리,제주시 구좌읍 한동리 1182-6 한동초등학교 앞 사거리,33.53755888,126.82908160,한동초등학교 앞 사거리,02,50,,,02,2017,제주지방경찰청,064-798-3052,2019-09-19
F9398,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 구좌읍 일주동로 1925 김녕입구 삼거리,제주시 구좌읍 김녕리 6194 김녕입구삼거리,33.55446429,126.73843850,김녕입구 삼거리,02,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9399,17,제주시,05,대로1002,동문로,01,제주특별자치도 제주시 동문로 133 사라봉호텔 앞,제주시 건입동 711 사라봉호텔 앞,33.51392974,126.54047010,사라봉호텔 앞,01,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9400,17,제주시,04,1132번,도령로,02,제주특별자치도 제주시 도령로 198 신제주입구 교차로,제주시 연동 1767-1 7호광장,33.49758111,126.49676220,신제주입구 교차로,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9401,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 일주서로 7719 도두입구 3가,제주시 도두1동 2308-3,33.49401321,126.47065170,도두입구 3가,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9402,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 애월읍 일주서로 7040 미수동포구 입구,제주시 애월읍 하귀2리 1775-5 미수동포구 입구,33.48275498,126.40255700,미수동포구 입구,01,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9403,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 표선면 일주동로 5699 하천교차로,서귀포시 표선면 하천리 150-1,33.33586557,126.84144290,일주동로 하천교차로,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9404,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 남원읍 일주동로 7890 공천포교차로,서귀포시 남원읍 신례리 53-3 공천포 교차로,33.26693551,126.64235860,공천포교차로,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9405,17,서귀포시,04,1132번,일주도로,02,제주특별자치도 서귀포시 하신상로 1 하효중앙사거리,서귀포시 하효동 642-1 하효중앙사거리,33.26070967,126.61737120,하효중앙사거리,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9406,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 토평남로 86 휴펜션 앞,서귀포시 하원동 1379-3 휴펜션 앞,33.25307478,126.45353110,휴펜션 앞,01,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9407,17,서귀포시,04,1115번,산록남로,03,제주특별자치도 서귀포시 안덕면 산록남로 863 산삼연구소 입구,서귀포시 안덕면 상천리 545-4 산삼연구소 입구,33.31353217,126.39210830,산삼연구소 입구,01,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9688,17,제주시,04,97번,번영로,02,제주특별자치도 제주시 번영로 484 봉개초등학교 앞 사거리,제주시 봉개동 1932-2 봉개초등학교 앞 사거리,33.49104081,126.59323660,봉개초등학교 앞 사거리,02,50,,,02,2017,제주지방경찰청,064-798-3052,2019-09-19
F9689,17,제주시,04,97번,번영로,01,제주특별자치도 제주시 번영로 222 부록마을 입구 교차로,제주시 화북2동 2764-2 부록마을 입구 교차로,33.50193288,126.56869340,부록마을 입구 교차로,02,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9690,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22 대정여고 앞 사거리,서귀포시 대정읍 하모리 1389-5 대정여고 앞 사거리,33.22843587,126.25270610,대정여고 앞 사거리,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
